ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,,"IB1",301,1/13/2022 4:00:00 PM,Sell,1,SPXW  220115P02700000,1/14/2022,Put,SPX Jan22 2700 Put,SPX,0,1.14
,,"IB1",301,1/20/2022 3:37:57 PM,Buy,1,SPX   220219P03250000,2/18/2022,Put,SPX Feb22 3250 Put,SPX,2.7,1.14
,,"IB1",301,1/21/2022 9:48:46 AM,Sell,1,SPX   220122P02850000,1/21/2022,Put,SPX Jan22 2850 Put,SPX,0,1.14
,,"IB1",301,1/24/2022 9:41:57 AM,Sell,10,SPX,,Stock,SPX Stock,SPX,4555,0.05

,"IB1",12/31/2021,284,"242+2lp 2021-10-05 9:50",SPX,Open,Custom,10/5/2021 9:50 AM,,87,111,-1.00,64.72,-2560.99,0.00
,,"IB1",284,10/5/2021 9:50:12 AM,Buy,2,SPX   220319P03875000,3/18/2022,Put,SPX Mar22 3875 Put,SPX,110.5,2.28
,,"IB1",284,10/5/2021 9:50:12 AM,Buy,2,SPX   220319P03000000,3/18/2022,Put,SPX Mar22 3000 Put,SPX,26.7,2.28
,,"IB1",284,10/5/2021 9:50:12 AM,Buy,2,SPXW  220101P02300000,12/31/2021,Put,SPX Dec21 2300 Put,SPX,2.25,2.54
,,"IB1",284,10/5/2021 9:50:12 AM,Sell,4,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,68.3,4.57
,,"IB1",284,10/7/2021 1:11:05 PM,Buy,2,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,55.5727,2.29
,,"IB1",284,10/7/2021 1:11:05 PM,Sell,2,SPX   220319P03600000,3/18/2022,Put,SPX Mar22 3600 Put,SPX,57.8727,2.28
,,"IB1",284,10/12/2021 3:55:07 PM,Sell,1,SPX,,Stock,SPX Stock,SPX,4343.9,0.525
,,"IB1",284,10/14/2021 10:07:13 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4417.4,0.005
,,"IB1",284,10/14/2021 11:53:21 AM,Buy,2,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,46.72,2.28
,,"IB1",284,10/14/2021 11:53:21 AM,Sell,2,SPX   220319P03600000,3/18/2022,Put,SPX Mar22 3600 Put,SPX,48.67,2.28
,,"IB1",284,10/20/2021 12:18:06 PM,Buy,4,SPX   220319P03600000,3/18/2022,Put,SPX Mar22 3600 Put,SPX,40.45,4.56
